,position,heading,targetx,targety,thetax,thetay,velocity,acceleration,omega
58,"v = ( 0.0000, 0.0000, 1.1521 ) 	|v| = 1.1521","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 7.0812 ) 	|v| = 7.0812","v = ( 0.0000, 0.0000, 18.0795 ) 	|v| = 18.0795","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
59,"v = ( 0.0000, 0.0000, 1.2229 ) 	|v| = 1.2229","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 7.2597 ) 	|v| = 7.2597","v = ( 0.0000, 0.0000, 17.8425 ) 	|v| = 17.8425","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
60,"v = ( 0.0000, 0.0000, 1.2955 ) 	|v| = 1.2955","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 7.4241 ) 	|v| = 7.4241","v = ( 0.0000, 0.0000, 16.4432 ) 	|v| = 16.4432","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
61,"v = ( 0.0000, 0.0000, 1.3698 ) 	|v| = 1.3698","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 7.5875 ) 	|v| = 7.5875","v = ( 0.0000, 0.0000, 16.3379 ) 	|v| = 16.3379","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
62,"v = ( 0.0000, 0.0000, 1.4457 ) 	|v| = 1.4457","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 7.7498 ) 	|v| = 7.7498","v = ( 0.0000, 0.0000, 16.2325 ) 	|v| = 16.2325","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
63,"v = ( 0.0000, 0.0000, 1.5232 ) 	|v| = 1.5232","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 7.9111 ) 	|v| = 7.9111","v = ( 0.0000, 0.0000, 16.1271 ) 	|v| = 16.1271","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
64,"v = ( 0.0000, 0.0000, 1.6023 ) 	|v| = 1.6023","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 8.0713 ) 	|v| = 8.0713","v = ( 0.0000, 0.0000, 16.0215 ) 	|v| = 16.0215","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
65,"v = ( 0.0000, 0.0000, 1.6830 ) 	|v| = 1.6830","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 8.2304 ) 	|v| = 8.2304","v = ( 0.0000, 0.0000, 15.9159 ) 	|v| = 15.9159","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
66,"v = ( 0.0000, 0.0000, 1.7653 ) 	|v| = 1.7653","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 8.3885 ) 	|v| = 8.3885","v = ( 0.0000, 0.0000, 15.8102 ) 	|v| = 15.8102","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
67,"v = ( 0.0000, 0.0000, 1.8492 ) 	|v| = 1.8492","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 8.5456 ) 	|v| = 8.5456","v = ( 0.0000, 0.0000, 15.7045 ) 	|v| = 15.7045","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
